gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
CCDC116	4	8	1	1	2	5
CCDC117	1118	1537	762	808	1274	1127
CCDC11	23	14	40	87	29	32
CCDC120	321	6	0	500	379	350
CCDC121	149	64	38	119	74	90
CCDC122	282	209	279	165	103	154
CCDC123	988	741	581	670	412	813
CCDC124	2548	3262	1791	1603	1688	1722
CCDC125	219	408	516	182	325	370
CCDC126	412	176	230	366	208	127
CCDC127	717	708	617	1170	552	712
CCDC129	10	0	0	0	4	0
CCDC12	628	819	572	567	520	542
CCDC130	822	812	775	533	583	500
CCDC132	897	1023	1041	1313	770	667
CCDC134	153	255	119	98	175	117
CCDC135	18	0	0	1	1	0
CCDC136	32	752	247	206	62	52
CCDC137	2019	2135	764	1028	789	825
CCDC138	239	253	191	182	114	101
CCDC13	4	2	11	35	14	16
CCDC140	0	0	0	0	0	0
CCDC141	101	5	5	0	1	6
CCDC142	198	264	249	318	263	210
CCDC144A	1	0	1	80	3	8
CCDC144B	174	3	9	215	8	189
CCDC144C	8	0	16	19	7	4
CCDC144NL	0	0	0	0	0	0
CCDC146	28	89	154	337	302	100
CCDC147	19	176	39	449	128	17
CCDC148	10	49	48	113	71	199
CCDC149	388	5	496	267	91	187
CCDC14	1989	1736	1843	1797	1393	1568
CCDC150	133	118	64	38	73	88
CCDC151	21	30	22	53	20	8
CCDC152	4	1368	0	3	0	95
CCDC153	13	10	16	8	19	8
CCDC154	9	4	9	27	7	9
CCDC155	2	1	1	5	13	1
CCDC157	53	97	107	49	70	76
CCDC158	0	4	0	23	5	24
CCDC159	70	124	144	198	132	167
CCDC15	328	389	286	135	98	252
CCDC160	1	1	3	4	2	0
CCDC163P	133	131	43	129	180	168
CCDC17	23	13	9	5	3	6
CCDC18	653	733	479	456	314	454
CCDC19	385	28	44	19	23	30
CCDC21	1380	933	1096	909	650	1180
CCDC22	1079	1210	647	553	751	672
CCDC23	451	246	274	243	283	225
CCDC24	62	206	182	198	207	210
CCDC25	2254	1968	1993	2206	1654	2160
CCDC27	0	0	0	5	0	0
CCDC28A	474	276	189	324	389	507
CCDC28B	104	452	307	187	478	176
CCDC30	12	20	39	49	28	23
CCDC33	0	0	1	1	8	0
CCDC34	575	966	465	604	390	809
CCDC36	0	0	2	2	0	1
CCDC37	0	0	0	0	0	0
CCDC38	0	1	0	1	0	0
CCDC39	46	51	63	63	22	32
CCDC3	68	7	1	11	40	8
CCDC40	57	94	115	126	97	83
CCDC41	653	261	532	540	386	345
CCDC42B	2	1	6	11	5	8
CCDC42	0	0	0	1	0	0
CCDC43	714	1512	630	853	975	763
CCDC45	556	661	429	1404	462	588
CCDC46	426	76	199	334	334	540
CCDC47	5781	6892	2966	4073	3307	2943
CCDC48	5	0	0	2	2	0
